objectid,cat,man,bran,year,circa,xd,gd,cd,td,s,storfor,omit,locbox,locbag,expos,backp,manid,branid,mansafe,bransafe,xdsafe,gdsafe,cdsafe,tdsafe,ssafe,backpsafe
538136167,996,Kodak,Solio,1890,1,[texture unspecified],[gloss unspecified],[base color unspecified],[weight unspecified],[not specified],Not exposed - package open,0,21.0,A,,,http://www.wikidata.org/entity/Q486269,,Kodak,Solio,[texture_unspecified],[gloss_unspecified],[base_color_unspecified],[weight_unspecified],[not_specified],
1775725953,5443,DuVoll's Paper,Halo Bome,1890,1,[texture unspecified],[gloss unspecified],[base color unspecified],[weight unspecified],[not specified],Package only,0,132.0,B,,,,,DuVolls_Paper,Halo_Bome,[texture_unspecified],[gloss_unspecified],[base_color_unspecified],[weight_unspecified],[not_specified],
1219810079,366,American Aristotype,Aristo,1896,0,[texture unspecified],[gloss unspecified],[base color unspecified],[weight unspecified],[not specified],Exposed - package open,0,12.0,B,,,http://viaf.org/viaf/131668213,,American_Aristotype,Aristo,[texture_unspecified],[gloss_unspecified],[base_color_unspecified],[weight_unspecified],[not_specified],
874069472,1452,American Self-Toning,Self-Toning,1898,1,Linen,[gloss unspecified],[base color unspecified],[weight unspecified],[not specified],Not exposed - package open,0,23.0,D,,,,,American_Self-Toning,Self-Toning,Linen,[gloss_unspecified],[base_color_unspecified],[weight_unspecified],[not_specified],
2145796717,5563,Kodak,Solio,1898,0,[texture unspecified],Glossy,Pearly White,[weight unspecified],Pensé (Velox),Exposed - package open,0,130.0,C,,,http://www.wikidata.org/entity/Q486269,,Kodak,Solio,[texture_unspecified],Glossy,Pearly_White,[weight_unspecified],Pense_(Velox),
2145802965,1005,American Self-Toning,Self-Toning,1899,0,[texture unspecified],[gloss unspecified],[base color unspecified],[weight unspecified],[not specified],Not exposed - package open,0,23.0,D,0.0,,,,American_Self-Toning,Self-Toning,[texture_unspecified],[gloss_unspecified],[base_color_unspecified],[weight_unspecified],[not_specified],
421912560,2129,George Murphy,Cellofix,1899,1,[texture unspecified],[gloss unspecified],[base color unspecified],Cardboard,[not specified],Not exposed - package open,0,38.0,E,,,,,George_Murphy,Cellofix,[texture_unspecified],[gloss_unspecified],[base_color_unspecified],Cardboard,[not_specified],
1024080013,952,Boots,20th Century Self Toning Collodion,1900,1,[texture unspecified],Glossy,[base color unspecified],[weight unspecified],[not specified],Not exposed - package sealed,0,18.0,B,,,http://www.wikidata.org/entity/Q6123139,,Boots,20th_Century_Self_Toning_Collodion,[texture_unspecified],Glossy,[base_color_unspecified],[weight_unspecified],[not_specified],
911015797,5031,Kodak France,Contraste,1900,0,[texture unspecified],Semi Glossy,[base color unspecified],[weight unspecified],Velvet (Velox),Not exposed - package open,0,107.0,D,,,http://www.wikidata.org/entity/Q30343841,,Kodak_France,Contraste,[texture_unspecified],Semi_Glossy,[base_color_unspecified],[weight_unspecified],Velvet_(Velox),
1146603227,5441,American Aristotype,Aristo,1900,1,[texture unspecified],[gloss unspecified],[base color unspecified],[weight unspecified],[not specified],Sample book,0,12.0,12,1.0,,http://viaf.org/viaf/131668213,,American_Aristotype,Aristo,[texture_unspecified],[gloss_unspecified],[base_color_unspecified],[weight_unspecified],[not_specified],
