"PhotoID","Year","DateUncertain","Catalog Number","Secondary Catalog Number","Manufacturer","Brand","Format","Texture2","Reflectance2","BaseColor2","Weight2","SurfaceDesignation2","Omit_from_Paperbase","LocationBox","LocationBag","Exposure","BackprintingPrimary","ProcessName","Link","AATA_ID"
-538136167,"1890",1,996,,"Kodak","Solio","Not exposed - package open","[texture unspecified]","[gloss unspecified]","[base color unspecified]","[weight unspecified]","[not specified]",0,21,"A",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1775725953,"1890",1,5443,,"DuVoll's Paper","Halo Bome","Package only","[texture unspecified]","[gloss unspecified]","[base color unspecified]","[weight unspecified]","[not specified]",0,132,"B",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1219810079,"1896",0,366,,"American Aristotype","Aristo","Exposed - package open","[texture unspecified]","[gloss unspecified]","[base color unspecified]","[weight unspecified]","[not specified]",0,12,"B",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-874069472,"1898",1,1452,,"American Self-Toning","Self-Toning","Not exposed - package open","Linen","[gloss unspecified]","[base color unspecified]","[weight unspecified]","[not specified]",0,23,"D",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145796717,"1898",0,5563,,"Kodak","Solio","Exposed - package open","[texture unspecified]","Glossy","Pearly White","[weight unspecified]","Pensé (Velox)",0,130,"C",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-421912560,"1899",1,2129,,"George Murphy","Cellofix","Not exposed - package open","[texture unspecified]","[gloss unspecified]","[base color unspecified]","Cardboard","[not specified]",0,38,"E",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1024080013,"1900",1,952,,"Boots","20th Century Self Toning Collodion","Not exposed - package sealed","[texture unspecified]","Glossy","[base color unspecified]","[weight unspecified]","[not specified]",0,18,"B",,,"collodion processes","#http://vocab.getty.edu/page/aat/300162376#","300162376"
911015797,"1900",0,5031,,"Kodak France","Contraste","Not exposed - package open","[texture unspecified]","Semi Glossy","[base color unspecified]","[weight unspecified]","Velvet (Velox)",0,107,"D",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1146603227,"1900",1,5441,,"American Aristotype","Aristo","Sample book","[texture unspecified]","[gloss unspecified]","[base color unspecified]","[weight unspecified]","[not specified]",0,12,"12",1,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-869319652,"1901",1,2965,,"Kodak","Dekko","Not exposed - package sealed","[texture unspecified]","Matte","[base color unspecified]","[weight unspecified]","[not specified]",0,55,"A",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2145795022,"1901",0,5479,,"Kodak","Solio","Not exposed - package open","[texture unspecified]","[gloss unspecified]","[base color unspecified]","[weight unspecified]","[not specified]",0,132,"B",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1504608606,"1905",1,3171,,"Kodak London","Velox","Not exposed - package open","Velvet","Velvet","[base color unspecified]","[weight unspecified]","VV",0,69,"C",,"K02","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1747445025,"1905",1,3172,,"Kodak London","Velox","Not exposed - package sealed","Velvet","Velvet","[base color unspecified]","[weight unspecified]","VV",0,69,"C",,"K01","	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1053741646,"1905",0,5131,,"Kodak","Velox","Not exposed - package open","[texture unspecified]","Matte","[base color unspecified]","[weight unspecified]","Carbon (Velox)",0,114,"D",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
560276116,"1905",0,5139,,"Kodak","Velox","Not exposed - package open","[texture unspecified]","Matte","[base color unspecified]","[weight unspecified]","Portrait (Velox)",0,114,"D",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
782841351,"1906",1,882,,"Kodak London","Velox","Not exposed - package open","[texture unspecified]","Semi Glossy","[base color unspecified]","[weight unspecified]","Art",0,16,"C",,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
